City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,phalombe,-15.8064,35.6507,18.72,94,92,0.89,MW,1678156132
242,tura,25.5198,90.2201,24.01,20,0,0.73,IN,1678156132
243,pesochnoye,58.006,39.1772,-11.41,98,100,2.24,RU,1678156132
244,akdepe,42.0551,59.3788,19.05,28,100,5.45,TM,1678156133
245,gillette,44.2911,-105.5022,-5.03,88,100,9.77,US,1678156133
246,tarakan,3.3,117.6333,27.72,78,40,3.09,ID,1678155905
247,stornoway,58.2093,-6.3865,-0.02,86,75,9.26,GB,1678156133
248,new norfolk,-42.7826,147.0587,18.72,67,96,5.57,AU,1678156134
249,souillac,-20.5167,57.5167,26.21,89,75,1.54,MU,1678156134
250,vardo,70.3705,31.1107,-10.01,79,75,6.69,NO,1678156134
251,maceio,-9.6658,-35.7353,25.69,88,0,0.51,BR,1678156135
252,miajadas,39.1513,-5.9084,10.43,94,100,3.9,ES,1678156135
253,lebu,-37.6167,-73.65,14.65,97,64,3.29,CL,1678156135
254,penzance,50.1186,-5.5371,6.38,71,72,7.48,GB,1678156136
255,kahului,20.8947,-156.47,23.25,92,100,8.75,US,1678156136
256,dengfeng,34.4553,113.0281,20.63,17,0,1.62,CN,1678156136
257,kandiari,26.9156,68.5216,22.07,34,9,2.08,PK,1678156137
258,elizabeth city,36.2946,-76.2511,13.34,88,0,3.09,US,1678156137
259,korsakovo,53.2677,37.3569,-9.78,90,56,3.54,RU,1678156137
260,poum,-20.2333,164.0167,27.45,70,9,5.45,NC,1678156138
261,riohacha,11.5444,-72.9072,24.89,78,89,6.14,CO,1678156138
262,sassandra,4.95,-6.0833,24.91,90,99,3.72,CI,1678156138
263,saint-augustin,51.226,-58.6502,0.92,98,100,4.54,CA,1678156139
264,coquimbo,-29.9533,-71.3436,17.85,82,0,1.03,CL,1678156139
265,ndago,-4.6,34.35,15.72,69,100,2.36,TZ,1678156139
266,tibati,6.4667,12.6333,21.53,29,100,1.45,CM,1678156139
267,cayenne,4.9333,-52.3333,26.02,83,40,3.6,GF,1678155616
268,pedasi,7.5333,-80.0333,25.14,81,100,7.33,PA,1678156140
269,monroe,43.1501,-77.6831,1.35,78,100,0.0,US,1678155795
270,aranos,-24.1333,19.1167,19.1,18,0,4.48,NA,1678156141
271,jiangyou,31.7667,104.7167,15.89,74,77,2.02,CN,1678156141
272,togur,58.3631,82.8265,-2.83,87,100,7.66,RU,1678156141
273,auki,-8.7676,160.7034,27.19,85,100,2.58,SB,1678156142
274,paragould,36.0584,-90.4973,16.59,70,42,3.35,US,1678156142
275,padang,-0.9492,100.3543,27.03,75,97,1.14,ID,1678155968
276,omsukchan,62.5333,155.8,-19.59,93,96,1.42,RU,1678156143
277,citta di castello,43.4691,12.2305,8.2,77,98,2.19,IT,1678156143
278,charyshskoye,51.3978,83.5598,1.34,83,100,4.28,RU,1678156144
